5	0.000000	0.113911	0.024305	0.027458	0.091777
10	0.000000	0.068308	0.003418	0.024250	0.011571
15	0.000000	0.048702	0.000000	0.000000	0.014889
20	0.000000	0.004171	0.000747	0.011760	0.093609
25	0.000000	0.073643	0.020517	0.029024	0.008331
30	0.000000	0.031188	0.016529	0.024938	0.001993
35	0.000000	0.002006	0.004923	0.000000	0.002148
40	0.000000	0.028264	0.007705	0.016394	0.003110
45	0.000000	0.010796	0.001119	0.004654	0.001799
50	0.000000	0.002226	0.018829	0.018196	0.007780
55	0.000000	0.004119	0.007717	0.000464	0.000097
60	0.000000	0.005273	0.004313	0.003759	0.025981
65	0.000000	0.002196	0.022565	0.017811	0.002098
70	0.000000	0.005238	0.007872	0.020282	0.036071
75	0.000000	0.006108	0.003482	0.021168	0.000966
80	0.000000	0.010958	0.029278	0.014898	0.002448
