5	0.000000	0.000000	0.640580	0.856321	0.757553	0.959504
10	0.000000	0.000000	0.196139	0.370848	0.736560	0.482212
15	0.000000	0.000000	0.257669	0.558539	0.617958	0.105036
20	0.000000	0.000000	0.170445	0.522518	0.508950	0.048406
25	0.000000	0.000000	0.083119	0.457848	0.326054	0.094110
30	0.000000	0.000000	0.088518	0.550241	0.498428	0.000780
35	0.000000	0.000000	0.034526	0.265482	0.356593	0.004960
40	0.000000	0.000000	0.090658	0.307065	0.263048	0.005794
45	0.000000	0.000000	0.048476	0.392821	0.447991	0.042624
50	0.000000	0.000000	0.114813	0.456579	0.342562	0.001572
55	0.000000	0.000000	0.067262	0.428172	0.363200	0.001908
60	0.000000	0.000000	0.026068	0.318727	0.298739	0.000237
65	0.000000	0.000000	0.113930	0.340771	0.306877	0.000953
70	0.000000	0.000000	0.090488	0.368303	0.496783	0.000257
75	0.000000	0.000000	0.070130	0.347776	0.480012	0.008413
80	0.000000	0.000000	0.050360	0.157973	0.261761	0.001204
