10	0.271127	0.271127	0.205821	0.546793	0.611191	0.372387
15	0.046124	0.046124	0.136601	0.429004	0.542797	0.235514
20	0.003958	0.003958	0.088759	0.400195	0.656309	0.048988
25	0.000870	0.000870	0.120285	0.512048	0.466558	0.007860
30	0.000000	0.000000	0.099275	0.449778	0.381230	0.017214
35	0.000000	0.000000	0.059192	0.373889	0.290622	0.014866
40	0.000000	0.000000	0.063237	0.353301	0.431416	0.003142
45	0.000000	0.000000	0.060658	0.334099	0.359760	0.003238
50	0.000000	0.000000	0.044090	0.396550	0.232866	0.002266
55	0.000000	0.000000	0.059122	0.238159	0.248014	0.001272
60	0.000000	0.000000	0.076721	0.239236	0.312703	0.001307
65	0.000000	0.000000	0.082399	0.319399	0.441623	0.092549
70	0.000000	0.000000	0.046344	0.227686	0.272823	0.000797
75	0.000000	0.000000	0.035446	0.294743	0.168643	0.000107
80	0.000000	0.000000	0.054370	0.237913	0.297610	0.000793
