10	0.000136	0.000136	0.051093	0.010699	0.004962	0.097685
15	0.000000	0.000000	0.031525	0.000156	0.008571	0.008119
20	0.000000	0.000000	0.033023	0.000000	0.007000	0.012356
25	0.000000	0.000000	0.020174	0.003571	0.010159	0.002408
30	0.000000	0.000000	0.003012	0.000000	0.000000	0.002194
35	0.000000	0.000000	0.000701	0.014786	0.006392	0.001015
40	0.000000	0.000000	0.016100	0.007823	0.007823	0.028724
45	0.000000	0.000000	0.002331	0.014171	0.013006	0.002485
50	0.000000	0.000000	0.030569	0.000000	0.000000	0.000697
55	0.000000	0.000000	0.007929	0.018782	0.014140	0.002386
60	0.000000	0.000000	0.005109	0.021171	0.019431	0.000386
65	0.000000	0.000000	0.011346	0.011499	0.007592	0.000729
70	0.000000	0.000000	0.002457	0.003065	0.003065	0.000621
75	0.000000	0.000000	0.005199	0.017566	0.013050	0.002482
80	0.000000	0.000000	0.001456	0.000063	0.002661	0.004010
