10	1.924297	1.924297	1.443216	2.186753	2.202915	2.149803
15	1.173546	1.173546	0.893071	2.010763	2.056114	1.330118
20	0.602799	0.602799	0.656650	1.915005	2.059695	0.768561
25	0.305493	0.305493	0.472932	1.816862	1.826332	0.572244
30	0.154183	0.154183	0.264019	1.780932	1.891756	0.337169
35	0.077379	0.077379	0.265348	2.152550	2.137668	0.213569
40	0.038115	0.038115	0.125948	2.020405	1.912398	0.315142
45	0.018869	0.018869	0.155519	1.992111	1.906237	0.426472
50	0.009204	0.009204	0.113193	1.790663	1.788380	0.111939
55	0.004387	0.004387	0.113029	2.123189	2.074189	0.083851
60	0.001963	0.001963	0.114918	2.205434	2.155387	0.606662
65	0.000655	0.000655	0.093370	2.168632	2.172870	0.199997
70	0.000357	0.000357	0.085023	1.945370	2.004141	0.262404
75	0.000047	0.000047	0.056874	2.130631	2.175898	0.046350
80	0.000058	0.000058	0.028298	1.795074	1.864546	0.050279
