5	0.000000	0.000000	1.507230	2.137232	2.123257	2.155574
10	0.000000	0.000000	1.452049	2.252671	2.238115	2.166793
15	0.000000	0.000000	1.248337	2.123543	2.054683	1.334606
20	0.000000	0.000000	0.891041	2.175871	2.247602	1.233184
25	0.000000	0.000000	0.616067	1.990313	1.967970	0.520448
30	0.000000	0.000000	0.373090	2.224455	2.224455	0.604857
35	0.000000	0.000000	0.212565	2.046360	1.862915	0.375103
40	0.000000	0.000000	0.290445	2.086620	2.173420	0.206261
45	0.000000	0.000000	0.150097	2.040801	2.033839	0.126244
50	0.000000	0.000000	0.120841	2.135918	2.192960	0.104188
55	0.000000	0.000000	0.113898	2.013222	2.061361	0.183812
60	0.000000	0.000000	0.059236	1.886605	1.969455	0.134530
65	0.000000	0.000000	0.082354	2.015831	1.820350	0.054905
70	0.000000	0.000000	0.066559	1.727873	1.776438	0.045870
75	0.000000	0.000000	0.064778	2.247059	2.254908	0.055555
80	0.000000	0.000000	0.042752	2.210788	2.250938	0.201454
